"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Tecnica natación -> TEST","Swim","200 S 150 K 100 P Ejercicios grabar: * Grabar ejercicios frontal y lateralmente a poder ser desde fuera y dentro del agua. * Descansos entre series son completos (tanto como necesites para máxima calidad). 2 x 50m K w/KB 2 x 50m FS w/S 2 x 50m FS w/PB 2 x 50m FS ¿Sabes realizar virajes? Si es un sí, graba un viraje lateral para ver entrada, salida y subacuático. 200 CH","","1050","2025-04-01","","600","","",""," *04/01/2025 David Sabat: Ahora adjunto los vídeos. 250m de kickboard que no se han grabado en el garmin. No he hecho los 200 de cool down. Se han enfadado en la piscina por grabar ahora adjunto los vídeos! Mañana después del correr vendré a estirar 1000m me he ido con mala sensaciones después de la disputa que he tenido por grabar…*","0.203595279057821","0.81190798376184","","25","","89","121","","","0.736755786745921","8.14","12","0","0","0","0","0","0","","","","","","","","","","","","","","2","5"
"FUERZA","Strength","KISS (Keep it super simple) :D BOX SQUAT: 3 x 10-15r lightweight PUSH UPS: 3 x 10-15r SUBIDA A CAJÓN: 3 x 10-15 PULL UPS/LAT PULL DOWN: 3 x 10-15 CORE: 10-15min","0.666666666666667","","2025-04-01","Vamos a llevar a cabo un approach más sencillo si cabe con la fuerza, más en línea con mi forma de entender la fuerza.","0","","",""," *04/01/2025 David Sabat: 💪👍🏽 CORE: Circuito 3x -Kettlebell -Crunch -Plancha -Kettlebell R + 3x oblicuos*","0.692640244960785","0","","","","82","126","","","0.553180550884561","23.27","42","0","0","0","0","0","0","","","","","","","","","","","","","","3","5"
"1h D1","Run","Sin pasar de 5:20/km","1","11067","2025-04-02","","11214.2900390625","311","465","1122.462"," *04/02/2025 David Sabat: Isquio algo cargado. Al principio he empezado con algo de desnivel por orografía del terreno. Buen entreno, nada que comentar👍🏽*","1.001873254776","3.10899996757507","","160","","148","167","","","1.29785003966853","167.58","4","32","4","20","0","0","0","","","","0","0","0","1","28","31","","","","","3",""
"Lap Swimming","Swim","","","","2025-04-02","","1200","","",""," *04/02/2025 David Sabat: Entreno hecho tras ayer no poder completar lo pedido porque nos tiraron fuera de la piscina por grabar 🥲 -1000wu, ritmo muy tranquilo estirando y intentando mejorar entrada mano izquierda (un punto bastante débil que noto que tengo de entre tantos) -4x50m (Snorkel, Aletas, Pull, Aletas) -Con el snorkel noto que el rolido lo exagero demasiado e intento concentrarme en apretar abdominal y no mover mucho caderas además muevo inconscientemente la cabeza, la entrada de la mano izquierda va mejorando!) -Aletas respirando por lado malo (izquierdo). Mejorando respecto a nadar con pull ya que puedo concentrarme mejor en el guiado de la mano hacia un punto más central y no me desvío del eje longitudinal del cuerpo. -Pull respirando por lado malo (izquierdo) Noto que a la que me desconcentro de la técnica el brazo izquierdo en la entrada del agua lo desvío de la línea de mi cuero lo que me hace desestabilizarme por completo y irme en dirección no deseada. Piernas las sigo abriendo pero intento concentrarme en estirar más, apretar abdominal y controlar el rolido para no desestabilizarme. Ya que creo que la consecuencia de abrir piernas es la desestabilización consecuente de estirar de no manera correcta, de tener los hombros en tensión y no dejarlos fluir (nadar con hombros algo más) y de mover las caderas que viene a consecuencia yo creo de no apretar lo suficiente el abdominal. quizás la cabeza también tenga un papel importante en esto. seguimos con ello! Nacho si necesitas más vídeos házmelo saber, porque ayer intenté hacer lo que pude… Pero ya sabes cómo son los gimnasios y cuando alguien te dice que no hagas algo y le debates acabas perdiendo 😂💪*","0.423706945843167","0.785854616895874","","25","","122","143","","","0.70803654021533","15.04","25","1","0","0","0","0","0","","","","","","","","","","","","","","2","5"
"8 x 50m TEST (Glyc.Cap)","Swim","200 S 150 K 100 P 8 x 50 FS D: 1' Comentarios: Tan rápido como puedas, necesito que me des tiempos de cada 50m, si puedes que alguien los tome mejor, así tenemos tiempos a la décima de segundo. 4 x 100 D: 30'' Impar: FS/P Par: BA 200 CH","","1450","2025-04-03","","1200","","",""," *04/03/2025 David Sabat: Condenado a la técnica (Así llamaré a mi entreno) -No creo que haga falta más explicación la técnica me tiene condenado a la muerte, por mucho esfuerzo que haga y fuerza que aplique al aplicarla de manera incorrecta no mejora en absoluto la relación fatiga vs fuerza. Sin duda algo triste pero contento al ver que hay mucho margen de mejora y con Nacho haremos buen trabajo. Ultimas 2 series mejora han costado ya que veía como mi energía se agotaba y el ácido se empezaba a acomular en mi dorsal. A seguir dándole y mejorar técnica.* *04/03/2025 David Sabat: Al llegar a casa adjunto tiempos reales no los del garmin.*","0.401309446228875","0.825309491059147","","25","","123","152","","","0.747552799514477","16.77","21","3","0","0","0","0","0","","","","","","","","","","","","","","4",""
"30-40' AR + 4 x progresivos","Run","","0.705555555555556","","2025-04-03","","7583.5400390625","297","485","752.856"," *04/03/2025 David Sabat: buen entreno después de nadar modo transición el calentamiento sí que notado fatigado en el isquio y en el cuádriceps pero creo que es de la carga que llevamos semanalmente y además que el domingo hice una media maratón de montaña y voy algo fatigado. durante las series me he sentido bien lo que la primera ha sido un poco catástrofe, ya que nunca había usado el auto lap y 20 segundos es un poco complicado regular el ritmo. La próxima vez mejoraré, empezaré quizás tres segundos antes para poder cuadrar el ritmo bien. tema ritmos bajos y consumo comentar*","0.704123079776764","2.99200010299683","","160","","151","183","","","1.23981565239542","107.13","3","19","7","10","1","2","1","","","","0","0","0","6","17","19","","","","","4","5"
"1km variado","Swim","5x200m D: 30-45'' 1. FS 2. 50 FS + 50 K manos flecha 3. 2x50 BA + 50 BR 4. HP + PB 5. FS Respirando c/2,4,6,2 brazadas (cambio cada 50m)","","1000","2025-04-04","","1000","","",""," *04/04/2025 David Sabat: Gracias Nacho por hacer la natación que se me pase volando, me encanta ir variando de ritmos, ejercicios, accesorios, estilos. Me noto mejorando y además tengo ganas de ir a nadar 💪🤣!!! Seguir mejorando todo lo mencionado estos días. Añado que cuando respiro por el lado izquierdo la mano derecha empiezo la remada subacuática mucho antes haciendo en parte que pierda estabilización y necesite ayuda de los pies para compensar.*","0.337813611560398","0.815660685154976","","24","","117","152","","","0.740053069043674","13.69","19","2","0","0","0","0","0","","","","","","","","","","","","","","4","5"
"4 x 6' LT1","Run","","0.944444444444444","","2025-04-04","","10032.26953125","278","478","944.554"," *04/04/2025 David Sabat: Bien. Me he liado un poco con el auto-lap, pero ya lo he entendido. 😊*","0.944682478904724","2.95000004768372","","150","","148","173","","","1.23872174076381","143.61","9","18","15","13","1","0","0","","","","6","0","0","3","18","28","","","","","3","5"
"Aerobic.profile EVAL","Bike","Calentamiento en ligera progresión TEST 4min: Esfuerzo máximo, intentar mantener ritmo constante, sin reventar. 90-110rpm TEST 20min: Mantener ritmo constante. 90-110rpm.","1.28333333333333","","2025-04-05","","33028.328125","178","634","823.502"," *04/05/2025 David Sabat: PESO PRE TEST 63.1KG Sensación; Voy algo cargado y me marca bajo en forma el training peaks aun así voy a cargar ahora carbos y saldré!!!* *04/05/2025 David Sabat: Verás Nacho que el lap que tú programaste no es el del ftp, ya que justo cuando me iba a saltar he tenido que parar entrneno porque venía bajada y no quería empezar el test en bajada y perdiendo wattios. Contento, creo que he perdido wattios por tener que frenar en alguna curva y por alguna bajada*","1.28386747837067","7.14599990844727","","81","","142","177","","","0.872936586776704","97.16","38","10","3","5","16","5","0","","","","24","19","9","13","8","5","","","","","5","5"
"3h AR","Bike","100-125bpm","3","","2025-04-06","","90010.5703125","154","569","1940.422","","3.49534344673157","7.15299987792969","","84","","142","172","","","0.718548370393938","178.88","68","80","31","30","0","0","0","","","","63","78","45","18","4","2","","","","","2","5"
"MOVILIDAD 2x semana cadera/hombro","Other","Hombro: https://www.youtube.com/watch?v=R0J_aPs-Jgo&pp=ygUddG9tIG1lcnJpY2sgc2hvdWxkZXIgbW9iaWxpdHnSBwkJfgkBhyohjO8%3D Cadera: https://www.youtube.com/watch?v=KfElAgr72Vo","","","2025-04-07","Sin forzar pero con consistencia irás notando muchos cambios","","","",""," *04/08/2025 David Sabat: Cadera realizada! 8/4/25: Dos ejercicios que no puedo hacer bien el de estirarme con posición de pierna sobre suelo y el último del vídeo*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","Warm up: 100 nadar + 100 pies AL + 100 (50 espalda + 25 braza + 25 espalda) 8 x 50 pies ALETAS D: 30'' 8 x 50 técnica rolido (alternar cada dos series entre los dos primeros ejercicios del vídeo, primer ejercicio comienza en 1:19) 4 x 25 SPRINT D: 45'' 200 suavizar (50 espalda + 50 PB crol)","","1400","2025-04-07","Técnica de rolido: https://www.youtube.com/watch?v=n9DftarteSQ&t=22s","1125","","",""," *04/07/2025 David Sabat: warm up me quería ir de la piscina 🥲😂 llevaba 12h fuera de casa en cursos y lo último que quería era picar de pies!! pero posterior bien, cogiendo ritmo. Ejercicio de virar los hombros con manos pegados al pecho bien, lo único que en el lado izquierdo tengo que concentrarme para no mover la cadera. Ejercicio de patada lateral con aletas mientras nado aguantando brazo pegado al cuerpo bien, a veces me hundo un poco y tengo que corregir. Los “””sprints”””” por alguna manera llamarlo me he centrado en mantener el picar de pies aunque no me haya hecho ir más rápido para coger un poco la sensación*","0.379305278460185","0.816993464052288","","22","","103","144","","","0.741487176613395","15.46","22","1","0","0","0","0","0","","","","","","","","","","","","","","3","7"
"4 x 6' LT1","Run","","0.944444444444444","","2025-04-08","","9894.2197265625","279","473","948.596"," *04/08/2025 David Sabat: Con pulsometro funcionando no como el 4 x LT1 de la semana anterior. No he notado ese “mareo” de forma tan notoria yendo a 05:00 creo que tambien es de la forma de cargar los carbos antes del entreno. Me ha ido bien hacer movilidad de cadera antes me he visto que la técnica era algo mejor que la que usual tengo.*","0.94458943605423","2.91000008583069","","154","","147","171","","","1.24734948828222","145.52","14","12","8","22","2","0","0","","","","8","1","0","2","15","31","","","","","2","5"
"Glyc.profile EVAL","Bike","Calentamiento en ligera progresión 2 x 5'' Sprint calentamiento Sprint 6'' AL MÁXIMO: Alta resistencia; comenzar desde muy baja velocidad usar los mejores 1 y 5 segundos para el Perfil Potencia-Velocidad. Sprint: 30'': Comenzar desde casi parado; RPM no mayor a 140. Sprint 1min: Comenzar desde casi parado; RPM no mayor a 140.","1.02944444444444","","2025-04-09","Durante la bici asegúrate de meter suficientes carbohidratos (60-80g/h)","23594.33984375","135","693","518.392","","1.06456995010376","6.1560001373291","","72","","120","167","","","0.851881301174177","76.82","55","5","1","3","0","0","0","","","","34","21","5","0","0","3","","","","","4","7"
"","Run","","","","2025-04-09","","1097.2099609375","295","506","100.833"," *04/09/2025 David Sabat: Primera serie* *04/09/2025 David Sabat: !!! HAY OTRO ENTRENO CON LAS RESTANTES!*","0.0945891663432121","3.22199988365173","","155","","130","155","","","1.4246107072783","17.83","4","0","2","0","0","0","0","","","","1","0","0","0","0","4","","","","","4",""
"T2: 8 x 1km LT2","Run","8 x 1km 4:35-4:45/km + 75s descanso entre series","0.75","","2025-04-09","Meter gel de 25-30g de hidratos en la tercera serie.","7628.27978515625","296","466","704.739"," *04/09/2025 David Sabat: Falta una serie que la he hecho pero al acabarla me he dado cuenta que me faltaban pantallas de datos en el garmin para cuadrar bien la serie. Paro 90” a configurarlo y sigo en esta. Buen ritmo sintiéndome súper cómodo la verdad!*","0.662015557289124","3.20099997520447","","155","","158","174","","","1.36331613823235","121.66","5","3","2","15","13","1","0","","","","7","0","0","0","1","31","","","","","4","3"
"6 x 100 + 6 x 50 LT2","Swim","200m Peus aletes bilaterals 300 SNK + Aletas máx long. braçada 8x50m Tecnica D.10"" ALTERNAR EJERCICIOS DE ROLIDO 1-2 DEL VIDEO 6 x 100 D: 15'' 2:00/100m 6 x 50 D: 15'' 1:55/100m 4 x 50 pies ALETAS rápido D:20'' 4 x 25 pies rápido D:20 100s","","2200","2025-04-10","","2025","","",""," *04/10/2025 David Sabat: Bien! -Peus + Aletes me siento bien. -Técnica cuando viro el brazo izquierdo noto que se me va la cadera para abajo. -Series (He intentado mantener pies con tobillos libres y intentar romper el agua, bien pero pierdo la tecnica cuando pasan los metros) además me han salido ritmos penosos. Me siento raro en el agua (sentirse raro creo que es positivo ya que implica que algo ha cambiado)*","0.770814165729615","0.727109515260323","","23","","110","143","","","0.656773088129236","21.84","45","2","0","0","0","0","0","","","","","","","","","","","","","","4","5"
"2h endurance","Bike","120-135ppm","2","","2025-04-10","","37274.640625","138","471","826.514","","1.66813743114471","6.20699977874756","","77","","125","162","","","0.636016730184489","67.47","81","17","1","1","0","0","0","","","","44","21","14","17","2","1","1","","","","","5"
"15' LT1 + 5 x 6' LT2","Bike","30' warm up easy + 3 x 1min 220-230w + 1min easy + 3 x 30'' (20'' 250w sentado + 10'' arrancada SUBMAX) 5-10' suave 15' LT1 (180-190w) pulso debe mantenerse estable durante la serie. Chequea a partir del minuto 3-4 que no hay drift cardíaco, ello nos indica que estamos en zona adecuada. 5' suave 5 x 6' 210-220w + 1min suave Terminar las 2h-2h30 fácil","2.25","","2025-04-11","","42847.078125","164","486","1092.508","","1.8551436662674","6.41599988937378","","78","","134","167","","","0.764744468160949","108.06","56","35","16","5","0","0","0","","","","32","18","13","29","14","4","2","","","","4","5"
"T2: 40' AR","Run","Post bike 30-40' sin pasar de 5:20/km","0.583333333333333","","2025-04-11","","5618.81982421875","302","404","546.451","","0.502934157848358","3.1029999256134","","159","","147","163","","","1.25683342316286","78.09","3","14","7","6","0","0","0","","","","0","0","0","0","1","9","19","","","","3","5"
"Lap Swimming","Swim","Warm up: 100 nadar + 100 pies AL + 100 (50 espalda + 25 braza + 25 espalda) 8 x 50 pies ALETAS D: 30'' 8 x 50 técnica rolido (alternar cada dos series entre los dos primeros ejercicios del vídeo, primer ejercicio comienza en 1:19) 4 x 25 SPRINT D: 45'' 200 suavizar (50 espalda + 50 PB crol)","","1400","2025-04-12","Técnica de rolido: https://www.youtube.com/watch?v=n9DftarteSQ&t=22s","1325","","","","","0.559811944431729","0.655616031667491","","25","","104","136","","","0.591716563561814","11.6","34","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"30' rodaje + 4 x 15'' progresivos","Run","30' muy suave 5:30-6:00/km + 4 x 15'' rectas progresivas + 1min andando de descanso","0.583333333333333","","2025-04-12","","5556.68017578125","277","585","516.421","","0.516673624515533","2.98699998855591","","160","","137","158","","","1.1684509860705","69.46","11","18","2","0","0","0","0","","","","0","0","0","0","7","16","7","","","","2","5"
"Mountaineering","Other","","","","2025-04-12","","6903.43017578125","","","","","1.66296088695526","1.15299999713898","","93","","93","129","","","0.559398660167563","58.38","100","0","0","0","0","0","0","","","","","","","","","","","","","","3","7"
"Test lactato","Run","","1.5","","2025-04-13","","7977.2900390625","253","520","755.855","","0.82955139875412","2.6710000038147","","126","","142","192","","","1.32933829435422","145.19","16","11","4","9","2","3","4","","","","13","0","0","0","0","1","23","","","","5","5"
"Running","Run","","","","2025-04-13","","1089.69995117188","301","333","103.814","","0.0954055562615395","3.17300009727478","","161","","145","154","","","1.25699442871365","13.8","1","3","2","0","0","0","0","","","","0","0","0","0","0","0","6","","","","",""
"2h LT0","Bike","Muy suave, salida de recuperación. Ppm por debajo de 120. Importante comer lo suficiente durante el día para recuperar del fin de semana y afrontar el doble día de entreno tan duro.","2","","2025-04-14","","39442.078125","116","741","861.766"," *04/14/2025 David Sabat: Buen entreno Z1 con Andrea. Bajas pulsaciones pero me he sentido algo débil por fatiga!*","2.06812524795532","5.2979998588562","","69","","120","155","","","0.595179275867613","73.28","124","0","0","0","0","0","","","","","67","23","15","13","4","1","1","","","","2","5"
"MOVILIDAD 2x semana cadera/hombro","Other","Hombro: https://www.youtube.com/watch?v=R0J_aPs-Jgo&pp=ygUddG9tIG1lcnJpY2sgc2hvdWxkZXIgbW9iaWxpdHnSBwkJfgkBhyohjO8%3D Cadera: https://www.youtube.com/watch?v=KfElAgr72Vo","","","2025-04-14","Sin forzar pero con consistencia irás notando muchos cambios","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-04-14","","450","","",""," *04/14/2025 David Sabat: Estirando para mañana los 1900. Mirar ejercicios coordinativos de pie contrario a brazada*","0.182559166484409","0.680786686838124","","23","","95","124","","","0.616238571672093","4.27","11","0","0","0","0","0","","","","","","","","","","","","","","","2","5"
"1,9km","Swim","1900m continuo, ritmo half ironman. NUTRICIÓN: Desayuno meter 2g hidratos de carbono por kg de peso. Justo antes de comenzar a nadar isogel de SiS o cualquier gel 2:1 con 25-30g de hidratos de carbono.","","1900","2025-04-15","","1900","","",""," *04/15/2025 David Sabat: Comentarios David: -GEL 2:1 antes de entrar en el agua -Tiempo tomado en su totalidad transcurrido NO en movimiento, por lo habría que restar a mi parecer esos 2 segundos que se pierden por piscina (6/7s x 100m). -NO me he propulsado con la pared para hacer del tiempo algo mas fiable para el IM y tambien porque no me quería cargar el gemelo ya que la ultima vez en test se me subio por empujarme. -Al principio muy bien concentrandome en la técnica (ALGO QUE ME AYUDA --> escuchar el sonido de como entra el brazo ese ""puff"" que hace, me ayuda a desconectar, entrar en auto-pilot y centrarme en deslizar en el agua. -Durante la mitad de entrenamiento se me ha ido la cabeza y durante 600m he metido mala técnica hasta que me he dado cuenta y he corregido. Para el 70.3, estar bien concentrado en la técnica.* *04/15/2025 David Sabat: Analizar este entreno con Nacho para detectar debilidades y mejoras para pulir esta última semana. Hay mucho que pulir, pero intentar buscar las 4 cosas que me hagan bajar un poco mas el ritmo para el 70.3*","0.700556946860419","0.753370340999207","","25","","137","155","","","0.678031960326332","21.84","39","4","0","0","0","0","","","","","","","","","","","","","","","","5"
"3 x 30' LT2 (half pace)","Bike","Máximo 15min cambiarse 10min calentamiento sobre la bici 120-140w 3 x 30' en progresión cada serie (190-195-200w) + 3min 100-150w entre series TIP 1: Trata de ir perfectamente acoplado sobre la bici, que la relación w/velocidad sea la mejor posible. TIP 2: 90g carbs por hora 2:1; 1:0.8 proporción glucosa:fructosa Completar 2h","2.06666666666667","","2025-04-15","POST SESIÓN: Maximiza la recuperación, proteína 30g tan pronto como puedas y comida rica en hidratos de carbono dentro del post 1h-2h al terminar sesion.","66104.6171875","178","576","1418.642"," *04/15/2025 David Sabat: -T1: -Nutrición bien, he cargado 206gr CH en total con la natación, 1x2:1 y 2x:1:0.8 + Bidón 320. Quizás me hubiera hecho falta otro gel para cumplir el ratio de 90/95gr CH/H: -Warm up han sido mas de 15' debido a que era todo desnivel negativo desde que he salido, total del wu = 30', donde despues he empezado las series. -SERIE 1: Rodando 190-200w por llano, muy bien, comodo. HABLAR SOBRE LA POSICIÓN SOBRE LA BICI AERODINAMICA!. Carga en el isquio derecho, para descargar 10/20s de pie y luego volver, me ha ido bien. -SERIE 2: Lo mismo, lo que esta vez me he picado con un ciclista que iba en electrica y me he subido algo de W durante unos minutos. Isquio mismas sensaciones. Misma sensación corporal aereo, no encuentro como ir. -SERIE 3: Vuelta al coche con algo de desnivel, manteniendo buenos watts, esta vez con alguna subida y sin molestia en el isquio. isquio se carga en plano cuando hay una cadencia y unos wattios muy constantes. Trás el entreno buena carga de CH. Mañana más. Me ha gustado en general. Como ya sabemos aspecto donde voy mal la natación, pero bueno, si saco tiempo parecido en Valencia estoy contento porque ire con el peloton (Me reconforta saber que la mayoriía es malo en el agua, pero hay que seguir a mejorar esas marcas!!!). Bicicleta con desnivel de Valencia en menos km y media de 30kmh, espero que salga algo mejor en VLC. Gracias Nacho!*","2.21665525436401","8.28400039672852","","85","","143","160","","","0.784362407034333","136.15","112","26","2","0","0","0","","","","","17","15","22","60","14","3","1","","","","4","5"
"4 x 20' LT2 (half pace)","Bike","10min calentamiento sobre la bici 120-140w 4 x 20' en progresión cada serie (190-195-200-205w) + 3min 100-150w entre series TIP 1: Trata de ir perfectamente acoplado sobre la bici, que la relación w/velocidad sea la mejor posible. TIP 2: 90g carbs por hora 2:1; 1:0.8 proporción glucosa:fructosa Acuérdate: Drink MIX 320 en un bidón, eso son 80 de carbs + 5 iso geles de SiS repartidos durante las 2h son 110g más, eso ya son 190g -> 95g/h, gas! Completar 2h","1.95","","2025-04-16","","44810.890625","187","383","1154.764","","1.71919059753418","7.23999977111816","","82","","144","162","","","0.813801630841521","113.68","64","41","6","0","0","0","","","","","12","8","13","45","20","4","1","","","","",""
"T2: 4 x 3km LT1","Run","T2: 4 x 3km 4:45-4:55/km D: 500m a 5:45-6:00/km NUTRICIÓN: Durante la carrera a pie meter mínimo 60g de hidratos (opciones pueden ser 3 iso-geles de SiS o bien llevarte en un flask un Maurten drink mix 160 (40g carbs + 1-2 iso geles)","1.15888888888889","","2025-04-16","POST SESIÓN: Maximiza la recuperación, proteína 30g tan pronto como puedas y comida rica en hidratos de carbono dentro del post 1h-2h al terminar sesion.","13506.6201171875","332","448","1294.519","","1.08148276805878","3.46900010108948","","165","","157","170","","","1.38222040990701","205.14","8","28","18","18","0","0","","","","","0","0","0","0","0","4","52","","","","3","3"
"JUE/VIE: 1h30 LT0","Bike","Ultra suave, con Andrea","1.5","","2025-04-17","","44309.55859375","93","346","918.669"," *04/17/2025 David Sabat: Pensaba que 44km iban a salir mas rapido, pero Andrea no estaba en su pico de forma ffísica... Nos hemos alargado algo 93W de media creo que han sido.*","2.7619936466217","4.45599985122681","","60","","109","146","","","0.514663512056871","72.91","166","0","0","0","0","0","","","","","117","22","12","12","3","0","0","","","","1","5"
"JUE/VIE: 1h D1","Walk","Excursión, día de descanso activo.","2","12000","2025-04-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Padel Racket","Other","","","","2025-04-18","","1140.67004394531","","","","","1.30816316604614","0.241999998688698","","4","","72","125","","","0.521923691835904","39.74","78","0","0","0","0","0","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-04-18","","30925.560546875","111","433","662.075","","1.66671812534332","5.15399980545044","","67","","117","153","","","0.542537317531212","48.88","100","0","0","0","0","0","","","","","57","26","10","5","1","0","0","","","","1","5"
"2,2km TEC+V","Swim","3x(100 crol + 50 esquena + 50 peus sense fusta) 2x200m SNK+Aletes focus braçada perfecte + máxima longitud = mínimes braçades possibles c/25m 4x50m 90% D.10"" tranferencia amb bona técnica 4x100m SNK+Aletes focus braçada perfecte + máxima longitud = mínimes braçades possibles c/25m 4x25m 95% D.10"" tranferencia amb bona técnica 200m peus aletes bilaterals amb aletes 100m máxima longitud braçada 4x25m Apnea amb aletes D.20"" 100m suaus","","2200","2025-04-19","Movilitat articular + gomes, acuérdate del timing en el batido de pies cuando hagas las transferencias.","2075","","","","","0.568090276809202","1.00777076250607","","22","","113","155","","","0.913147119703699","43.26","34","1","0","0","0","0","","","","","","","","","","","","","","","",""
"4 x 8' LT1","Run","","1.07777777777778","","2025-04-20","","9336.7099609375","284","534","874.452","","0.855812788009644","3.02999997138977","","156","","148","174","","","1.29818553568446","142.67","23","10","6","15","1","0","","","","","8","0","0","0","1","4","31","","","","2","7"
"Road Cycling","Bike","","","","2025-04-20","","21852.830078125","111","556","464.257","","1.16282045841217","5.21999979019165","","67","","114","145","","","0.531727756815314","32.59","70","0","0","0","0","0","","","","","40","19","6","3","0","0","0","","","","",""
"3 x 12' LT1","Bike","3 x 12' LT1 (165-175w)","1.5","","2025-04-21","","30578.16015625","165","390","705.088"," *04/21/2025 David Sabat: Molestia en el isquio que tras bajar de la bici desparece.* *04/21/2025 David Sabat: Bajar y adelantar sillín? o demasiado arriesgado pre-ironman???*","1.18561863899231","7.16400003433228","","77","","140","170","","","0.744770260103986","65.32","60","5","4","5","0","0","","","","","15","14","14","18","7","2","1","","","","3","5"
"Técnica: coordinación cruzada","Swim","200 variado 16 x 50m (coordinación cruzada) AL en un pie, pala en brazo contrario Link explicación: https://www.youtube.com/watch?v=iiakvOnnofo Descanso completo entre series, foco técnico. Realizar 4 con cada brazo-pierna y cambiar 8 x 50 nado crol sin material buscando trabajar la coordinación cruzada aprendida D: 30''","","1400","2025-04-21","","1025","","",""," *04/21/2025 David Sabat: Me ha gustado bastante el ejercicio de coordinación, es uno de los ejercicios donde más noto la sensibilidad y punto de mejora dentro del agua*","0.33461361196306","0.845012366034625","","24","","99","134","","","0.765808654635033","15.03","20","0","0","0","0","0","","","","","","","","","","","","","","","4","5"
"1,5km variado","Swim","3x 150 variats D.20"" 100 peus (25 suau + 25 a tope + 50 suau) D.10"" 50 mínimes respiracions possibles D.30"" 10x50 PB (pullboy)+ PG (palas grandes) D.10"" 100 suaus","","1500","2025-04-22","","1400","","",""," *04/22/2025 David Sabat: He hecho una pequeña modificación y añadido ejercicio de coordinación, palas y aletas. La verdad que me veo mejorando en este ejercicio y eso que lo empezamos ayer. Lo que noto que no encuentro un tiempo correcto de patada noto que hago una muy fuerte pero no mantengo un ritmo constante de pies.*","0.508096667395698","0.760456273764259","","24","","112","138","","","0.688845297478453","16.61","31","0","0","0","0","0","","","","","","","","","","","","","","","3","5"
"6 x 1km LT2","Run","6 x 1km @4:30-4:40/km, las series siempre en progresión sin pasarse del ritmo estipulado.","1.03444444444444","","2025-04-23","","11208.0400390625","277","525","1036.697","","1.03804218769073","2.99900007247925","","152","","151","176","","","1.27936977329944","168.65","27","11","3","21","5","0","","","","","11","0","0","0","0","9","34","","","","3","5"
"6 x 6' LT1 -> LT2","Bike","6 x 6' LT1 -> LT2 (170 -> 215w)","1.55","","2025-04-24","Sesión principal del día","39541.73828125","150","546","897.976"," *04/24/2025 David Sabat: Cuesta wattios en plano (nose si es por la potencia en 3s o que…) no daño de isquio antes de salir he hecho movilidad solo de cadera*","1.66471827030182","6.59800004959106","","79","","125","162","","","0.698531150508374","80.95","88","13","1","0","0","0","","","","","36","19","15","22","6","1","1","","","","3","5"
"30' LT0 + 4 x rectas","Run","En las rectas, no fuerces nada, no mires ni el ritmo, simplemente son un estímulo neural y también para abrir bien las piernas antes del día de descanso.","0.583333333333333","","2025-04-24","","5657.1298828125","251","517","514.656"," *04/24/2025 David Sabat: bien, guay la parte de rectas, te da la sensación final para saber que puedes correr rápido!*","0.569103598594666","2.76099991798401","","154","","141","163","","","1.07849006025692","65.25","33","2","0","0","0","0","","","","","3","0","0","0","8","19","3","","","","2","5"
"Coach-athlete call","Day Off","DÍA DE DESCANSO Llamada de 20' para responder dudas nutrición y pacing de cara a competición. Cualquier duda sobre material etc etc lo comentamos.","","","2025-04-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-04-25","","650","","","","","0.227080278926426","0.792682926829268","","25","","118","141","","","0.715605955604143","8.32","14","0","0","0","0","0","","","","","","","","","","","","","","","4","5"
"5' LT1 + 3' LT2 + 6 x 30-30 VO2","Bike","Openers para mañana.","1","","2025-04-26","","21019.240234375","129","429","373.403","","0.807521104812622","7.23000001907349","","81","","124","151","","","0.600145773406261","28.83","48","1","0","0","0","0","","","","","31","10","2","2","1","1","1","","","","1","5"
"Open Water Swimming","Swim","","","","2025-04-27","","1908.94995117188","","","","","0.792566120624542","0.669000029563904","","28","","141","154","","","0.602142175112034","17.3","46","2","0","0","0","0","","","","","","","","","","","","","","","",""
